Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
556	583	536	4144
557	306	258	3865
558	632	583	4191
559	338	288	3897
560	883	834	4442
561	13	1013	3576
562	341	294	3900
563	253	204	3812
564	422	373	3983
565	18	1018	3577
566	902	855	4463
567	1033	984	3546
568	228	179	3787
569	480	432	4042
570	1003	954	4564
571	424	374	3984
572	288	241	3851
573	139	91	3700
574	952	903	4511
575	791	743	4353
576	682	633	4241
577	559	511	4120
578	44	1046	3605
579	133	84	3692
580	906	858	4464
581	71	24	3630
582	875	828	4436
583	579	532	4140
584	217	170	3774
585	101	51	3659
586	684	635	4243
587	480	431	4039
588	521	473	4078
589	461	414	4022
590	184	136	3740
591	938	890	4498
592	303	256	3864
593	553	506	4112
594	690	640	4249
595	1003	953	4560
596	386	338	3944
597	560	511	4119
598	431	381	3989
599	227	180	3788
600	818	768	4376
601	174	126	3731
602	763	715	4322
603	1031	984	3542
604	156	106	3712
605	489	442	4048
606	384	337	3947
607	819	772	4380
608	229	181	3787
609	457	408	4016
610	444	395	4007
611	223	174	3784
612	793	746	4352
613	126	78	3685
614	652	605	4213
615	541	492	4100
616	379	331	3941
617	530	483	4089
618	465	416	4024
619	606	558	4168
620	980	933	4541
621	805	757	4367
622	465	418	4026
623	281	234	3838
624	832	785	4393
625	66	18	3626
626	510	462	4072
627	1048	998	3560
628	379	331	3939
629	590	543	4153
630	736	687	4297
631	636	588	4196
632	990	941	4549
633	795	746	4354
634	66	17	3625
635	156	108	3716
636	72	22	3630
637	476	426	4033
638	234	185	3793
639	29	1029	3591
640	316	267	3875
641	814	764	4372
642	688	640	4250
643	281	232	3842
644	872	824	4430
645	154	107	3717
646	982	933	4544
647	184	135	3741
648	354	307	3909
649	668	620	4223
650	112	64	3766
651	817	770	4468
652	165	116	3816
653	48	1048	3705
654	698	650	4350
655	319	271	3966
656	377	327	4024
657	712	663	4365
658	322	273	3977
659	366	318	4018
660	794	747	4447
661	864	815	4517
662	126	77	3778
663	146	97	3799
664	398	348	4048
665	630	582	4279
666	350	303	4003
667	577	528	4230
668	543	496	4196
669	866	819	4521
670	227	177	3879
671	251	203	3903
672	654	607	4309
673	438	389	4089
674	136	89	3789
675	406	357	4057
676	1014	965	3621
677	655	605	4307
678	436	387	4089
679	778	729	4429
680	650	601	4303
681	932	882	4584
682	387	337	4039
683	864	815	4517
684	924	875	4577
685	847	799	4501
686	616	567	4269
687	281	234	3936
688	244	194	3896
689	178	131	3829
690	607	558	4260
691	146	98	3800
692	19	1018	3673
693	189	140	3842
694	152	105	3805
695	989	940	4640
696	247	200	3902
697	9	1009	3664
698	1016	968	3622
699	1040	993	3648
700	101	53	3755
701	90	41	3741
702	384	335	4036
703	486	436	4136
704	433	386	4086
705	821	774	4474
706	513	464	4166
707	495	445	4147
708	180	131	3831
709	212	164	3864
710	493	445	4147
711	219	171	3873
712	257	207	3905
713	219	172	3872
714	1037	989	3643
715	917	867	4569
716	617	570	4273
717	752	702	4404
718	405	357	4059
719	803	755	4455
720	565	515	4217
721	262	214	3916
722	960	913	4616
723	641	594	4296
724	133	86	3784
725	428	380	4082
726	838	789	4493
727	594	547	4245
728	430	382	4084
729	639	590	4296
730	1044	995	3652
731	694	644	4348
732	54	7	3708
733	86	39	3740
734	461	412	4116
735	958	910	4610
736	195	148	3849
737	375	325	4029
738	373	326	4028
739	609	562	4262
740	365	316	4014
741	345	297	3999
742	239	190	3892
743	212	165	3866
744	426	378	4082
745	596	548	4252
746	420	370	4072
747	588	541	4245
748	1008	959	4661
749	808	761	4465
750	1014	965	3620
751	846	797	4498
752	450	403	4106
753	934	886	4590
754	786	736	4442
755	596	547	4250
756	238	191	3893
757	450	402	4106
758	35	1037	3694
759	545	498	4201
760	307	260	3962
761	815	766	4468
762	686	637	4341
763	316	267	3969
764	48	1048	3705
765	851	802	4505
766	303	254	3958
767	372	322	4026
768	751	704	4406
769	446	396	4102
770	415	365	4069
771	26	1026	3684
772	963	916	3571
773	775	725	4429
774	967	919	3577
775	154	107	3810
776	349	301	4003
777	997	949	3607
778	966	918	3576
779	864	815	4522
780	406	359	4059
781	368	318	4022
782	521	474	4176
783	630	581	4283
784	570	522	4224
785	941	795	4496
786	146	1048	3703
787	12	913	3568
788	43	945	3600
789	48	950	3605
790	570	423	4127
791	718	571	4273
792	962	817	4521
793	702	555	4262
794	103	1005	3664
795	637	491	4196
796	138	1038	3695
797	609	462	4166
798	669	524	4226
799	1018	873	3528
800	781	635	4342
801	908	761	4466
802	687	540	4243
803	86	37	3645
804	398	348	3955
805	403	356	3960
806	226	177	3783
807	469	421	4027
808	600	551	4161
809	119	72	3676
810	217	169	3774
811	7	1007	3562
812	252	204	3808
813	905	856	4464
814	746	699	4301
815	889	842	4446
816	394	346	3952
817	1001	953	4559
818	984	937	4543
819	801	751	4356
820	787	740	4348
821	973	926	4530
822	550	502	4107
823	99	50	3656
824	123	74	3680
825	527	479	4088
826	23	1023	3581
827	250	200	3805
828	320	271	3877
829	285	236	3844
830	845	798	4406
831	724	674	4281
832	396	346	3955
833	279	230	3838
834	1007	958	3520
835	204	155	3765
836	878	828	4435
837	712	663	4271
838	459	410	4018
839	137	87	3692
840	802	755	4357
841	430	382	3986
842	409	361	3965
843	375	325	3933
844	195	148	3752
845	660	613	4217
846	904	856	4462
847	270	223	3829
848	504	457	4063
849	176	127	3737
850	602	553	4161
851	977	929	4535
852	324	276	3888
853	294	245	3855
854	194	147	3753
855	437	388	3992
856	595	547	4151
857	950	903	4505
858	384	337	3941
859	465	417	4025
860	142	95	3699
861	692	645	4251
862	845	796	4400
863	903	856	4458
864	754	704	4311
865	316	267	3871
866	793	745	4349
867	644	597	4201
868	920	873	4481
869	39	1039	3596
870	587	538	4144
871	572	523	4129
872	973	926	4530
873	37	1037	3596
874	18	1016	3576
875	855	806	4410
876	255	208	3812
877	825	778	4380
878	658	610	4213
879	171	122	3730
880	455	408	4012
881	250	200	3805
882	707	659	4265
883	823	776	4378
884	498	449	4057
885	172	123	3729
886	448	398	4006
887	656	607	4211
888	900	851	4457
889	730	680	4285
890	922	875	4481
891	812	762	4368
892	510	462	4069
893	463	416	4020
894	568	518	4123
895	249	202	3808
896	609	562	4166
897	448	399	4003
898	883	836	4440
899	744	697	4299
900	941	893	4496
901	696	648	4249
902	79	31	3634
903	283	235	3839
904	334	286	3889
905	956	908	4511
906	763	715	4320
907	1001	953	4556
908	204	155	3759
909	9	1007	3564
910	337	288	3892
911	872	824	4427
912	886	837	4441
913	786	738	4339
914	113	65	3669
915	963	916	4518
916	773	723	4326
917	358	308	3914
918	831	783	4384
919	445	397	4000
920	913	865	4466
921	823	776	4377
922	915	868	4470
923	104	57	3658
924	523	474	4076
925	137	88	3688
926	934	886	4489
927	255	205	3810
928	940	890	4495
929	330	280	3883
930	63	16	3620
931	862	815	4417
932	453	406	4010
933	1005	957	3514
934	696	648	4255
935	935	888	4489
936	187	138	3742
937	930	883	4483
938	566	517	4121
939	590	543	4145
940	731	684	4288
941	703	656	4260
942	737	689	4294
943	733	684	4284
944	397	350	3952
945	986	937	4543
946	671	622	4225
947	1007	959	4562
948	892	845	4445
949	43	1041	3598
950	712	663	4267
951	647	599	4204
952	543	494	4096
953	280	230	3833
954	399	352	3954
955	804	755	4361
956	188	140	3743
957	617	569	4174
958	821	772	4376
959	508	458	4063
960	564	517	4119
961	29	1029	3589
962	917	870	4470
963	238	190	3793
964	70	20	3628
965	294	247	3851
966	238	191	3793
967	868	818	4421
968	1009	961	4566
969	557	507	4110
970	392	344	3949
971	446	399	3999
972	325	277	3882
973	742	695	4299
974	615	565	4170
975	481	434	4038
976	887	840	4442
977	613	565	4170
978	722	674	4279
979	699	651	4254
980	551	502	4108
981	512	465	4069
982	220	170	3775
983	369	322	3926
984	352	304	3911
985	112	64	3671
986	361	312	3918
987	510	461	4069
988	1027	978	3536
989	542	492	4098
990	360	310	3917
991	519	472	4074
992	317	270	3876
993	483	434	4038
994	199	149	3754
995	873	824	4430
996	1031	984	3544
997	650	601	4203
998	473	425	4031
999	179	132	3738
