Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
603	1841	5	788
604	1363	5	312
605	1320	5	267
606	1346	5	293
607	2121	13	1068
608	5	973	2030
609	27	674	1729
610	4	887	1940
611	829	1884	7
612	5	915	1972
613	5	910	1965
614	992	2044	5
615	5	184	1239
616	2139	29	1086
617	666	1719	9
618	518	1571	6
619	495	1550	6
620	415	1468	7
621	2135	25	1082
622	703	1757	23
623	655	1708	7
624	82	768	1823
625	955	2008	5
626	7	248	1303
627	43	740	1793
628	5	201	1258
629	362	1417	6
630	2135	27	1082
631	5	942	1995
632	618	1673	5
633	306	1359	6
634	1339	5	284
635	5	638	1695
636	5	1056	2113
637	1264	5	209
638	1312	5	261
639	1781	4	728
640	5	716	1771
641	1755	7	702
642	5	907	1962
643	2075	5	1022
644	914	1965	7
645	1138	5	85
646	604	1657	7
647	1972	5	919
648	5	475	1530
649	5	1002	2057
650	1466	5	411
651	1114	5	61
652	1697	5	644
653	465	1520	6
654	5	228	1283
655	1919	93	864
656	1976	5	921
657	1212	5	158
658	1241	7	188
659	1176	7	122
660	5	117	1172
661	1980	5	927
662	1108	5	53
663	18	1073	2128
664	2121	13	1068
665	947	2000	5
666	5	769	1824
667	7	953	2008
668	1753	5	700
669	653	1708	7
670	1479	4	424
671	1043	2097	5
672	1590	5	537
673	1747	5	694
674	5	47	1102
675	1200	7	147
676	245	1298	7
677	433	1484	4
678	165	1218	6
679	5	821	1875
680	1125	7	74
681	518	1572	7
682	308	1361	7
683	5	252	1307
684	4	533	1589
685	205	1258	7
686	2008	100	953
687	794	1847	7
688	5	374	1429
689	1311	5	258
690	1890	7	837
691	1264	7	211
692	5	368	1422
693	932	1985	61
694	1871	5	818
695	1064	2117	12
696	5	709	1766
697	5	481	1537
698	1256	4	203
699	799	1852	9
700	1359	4	306
701	1764	5	713
702	940	1991	41
703	1206	5	153
704	1699	5	646
705	2128	23	1077
706	515	1568	7
707	38	955	2008
708	248	1305	7
709	7	231	1288
710	71	1123	6
711	5	855	1910
712	826	1879	9
713	739	1792	6
714	7	835	1892
715	271	1324	7
716	1204	7	151
717	1839	5	786
718	737	1788	6
719	5	887	1942
720	254	1307	5
721	250	1303	6
722	582	1635	7
723	1170	2223	117
724	5	160	1213
725	945	1998	6
726	1154	2207	101
727	5	207	1264
728	1294	5	241
729	1552	5	499
730	2076	5	1021
731	5	330	1384
732	717	1770	7
733	595	1650	7
734	752	1805	6
735	160	1213	5
736	1449	5	396
737	5	509	1562
738	981	2034	5
739	2006	5	953
740	7	620	1677
741	42	1095	2150
742	6	366	1421
743	1826	7	773
744	5	253	1308
745	1648	5	595
746	5	192	1247
747	1116	2169	63
