Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
639	1051	905	5394
640	649	5	6443
641	53	5	7502
642	282	427	5394
643	5	626	6439
644	1132	1180	5468
645	335	288	5396
646	589	541	5396
647	769	5	6442
648	5	1040	6438
649	6	191	8673
650	609	7	6441
651	7	197	8676
652	5	52	7498
653	909	862	5392
654	861	5	6439
655	144	97	7588
656	5	52	7496
657	54	7	7500
658	624	7	6438
659	1230	5	8636
660	4	52	9736
661	86	40	7528
662	208	5	8674
663	910	855	5395
664	1029	1077	5393
665	450	401	5395
666	560	6	6438
667	7	951	6439
668	1083	1130	5411
669	232	185	7626
670	5	54	7502
671	4	611	6434
672	358	5	6433
673	53	5	7500
674	663	5	6436
675	4	626	6436
676	298	5	6440
677	104	1168	6536
678	843	891	5389
679	1200	1151	5488
680	5	53	7496
681	53	5	7498
682	335	5	6433
683	5	868	6433
684	5	52	7492
685	279	231	7621
686	752	5	6433
687	5	430	6435
688	656	5	6437
689	5	896	6437
690	223	5	8672
691	5	193	8673
692	718	5	6431
693	55	5	7498
694	93	140	7556
695	544	494	5394
696	502	5	6436
697	54	6	7498
698	5	52	7500
699	986	937	5391
700	687	735	5389
701	4	95	8572
702	762	810	5390
703	5	949	6433
704	664	5	6435
705	7	808	6435
706	5	150	9729
707	53	5	7592
708	5	55	7495
709	793	746	5393
710	150	197	7566
711	53	7	7496
712	155	202	7560
713	5	905	6440
714	5	52	7498
715	53	5	7498
716	338	5	6531
717	5	565	6435
718	717	763	5390
719	54	7	7498
720	5	53	7498
721	82	33	7528
722	67	114	7532
723	745	697	5389
724	399	5	6440
725	502	454	5390
726	668	714	5388
727	87	251	6521
728	1109	4	8534
729	718	5	6438
730	52	5	7500
731	5	54	7498
732	51	5	7497
733	160	7	8569
734	103	55	7530
735	5	52	7496
736	5	964	6437
737	5	94	8567
738	475	521	5388
739	800	755	5390
740	703	750	5391
741	990	942	5387
742	165	5	6433
743	5	375	6531
744	1040	1087	5390
745	5	1038	6435
746	718	5	6439
747	770	723	5390
748	219	266	5391
749	52	5	7494
750	171	7	6439
751	912	959	5386
752	458	412	5486
753	883	928	5391
754	124	76	7522
755	130	7	8576
756	5	969	6435
757	5	52	7595
758	927	879	5391
759	133	7	8572
760	93	5	8572
761	52	5	7496
762	296	27	6455
763	773	727	5387
764	895	943	5388
765	840	794	5388
766	835	881	5388
767	763	715	5394
768	1021	4	6436
769	52	5	7494
770	7	233	6439
771	5	52	7494
772	6	1027	6435
773	123	7	8582
774	43	5	6474
775	822	7	6439
776	5	667	6438
777	5	53	7594
778	580	532	5492
779	791	5	6441
780	103	56	7551
781	642	7	6435
782	52	7	7502
783	766	5	6438
784	594	545	5490
785	1054	5	6435
786	686	638	5394
787	893	941	5392
788	5	230	6437
789	23	71	7513
790	1031	984	5394
791	294	5	6439
792	979	933	5393
793	5	52	7502
794	53	5	8548
795	5	53	7500
796	411	361	5391
797	358	5	6441
798	26	1087	6461
799	80	126	7573
800	5	114	8578
801	1095	1138	5430
802	110	63	7554
803	5	53	7596
804	52	5	7489
805	558	511	5490
806	288	336	5389
807	956	908	5386
808	5	54	7498
809	461	415	5400
810	242	5	6437
811	536	489	5466
812	7	54	7597
813	688	638	5486
814	611	5	6536
815	410	361	5396
816	930	5	6442
817	52	7	7502
818	20	67	7515
819	7	941	6439
820	707	5	6437
821	5	911	6439
822	855	5	6437
823	5	206	6443
824	498	546	5438
825	7	139	8578
826	382	430	5395
827	5	919	6437
828	105	5	8578
829	124	77	7570
830	283	7	6439
831	481	434	5388
832	987	1035	5394
833	5	979	6437
834	5	53	7495
835	782	5	6442
836	5	238	6444
837	394	5	6437
838	1003	956	5389
839	687	736	5493
840	5	101	8571
841	661	4	6541
842	7	1123	6473
843	113	161	7531
844	812	765	5389
845	35	81	7528
846	471	425	5394
847	127	5	8574
848	78	31	7524
849	1095	31	6467
850	5	131	8580
851	1023	6	6440
852	150	5	7598
853	7	55	7600
854	1057	1011	5396
855	90	135	7528
856	52	5	7500
857	240	5	6439
858	52	5	7496
859	5	52	7500
860	53	5	7598
861	942	989	5390
862	103	53	7529
863	5	53	7592
864	52	4	7494
865	5	54	7498
866	898	6	6444
867	52	5	7498
868	732	780	5486
869	708	659	5459
870	1090	26	6458
871	4	719	6534
872	7	55	7495
873	4	875	6434
874	5	54	7598
875	1136	1088	5420
876	5	53	7496
877	52	5	7492
878	5	55	7498
879	508	459	5387
880	91	137	7575
881	53	5	7497
882	5	51	7496
883	54	5	7500
884	51	5	7498
885	1111	6	6470
886	54	7	7500
887	5	52	7503
888	5	274	6439
889	598	5	6440
890	92	5	8573
891	244	195	5395
892	93	46	7537
893	662	7	6440
894	858	809	5490
895	5	51	7594
896	5	999	6437
897	716	765	5436
898	53	7	7502
899	845	5	6534
900	142	95	7590
901	83	131	7535
902	5	436	6438
903	82	128	7530
904	51	5	7498
905	1057	7	6437
906	1039	991	5398
907	7	54	7502
908	226	179	5392
909	613	568	5395
910	709	7	6439
911	1053	1006	5392
912	5	52	7599
913	990	942	5492
914	4	54	7499
915	1003	1048	5394
916	52	5	7494
917	193	238	5394
918	5	52	7500
919	96	7	8573
920	53	5	7598
921	173	5	6435
922	969	7	6538
923	189	142	7533
924	615	5	6441
925	150	5	7595
926	11	58	7500
927	4	294	6436
928	1081	1129	5415
929	112	63	7532
930	321	5	6437
931	55	7	7500
932	5	52	7500
933	152	7	7596
