Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
489	1979	2029	4327
490	35	84	3431
491	1064	1114	3414
492	766	813	4162
493	1418	1466	3766
494	565	615	3962
495	1507	1555	3857
496	166	213	3560
497	1726	1776	4076
498	758	808	4154
499	1713	1763	4063
500	894	941	4290
501	1643	1693	3993
502	99	148	3495
503	1402	1451	3750
504	183	231	3580
505	2026	34	4374
506	918	967	4316
507	1535	1584	3885
508	917	964	4313
509	1267	1316	3617
510	22	70	3418
511	1245	1294	3595
512	697	746	4095
513	2016	26	4361
514	616	666	4015
515	1651	1699	4001
516	914	963	4312
517	1675	1725	4024
518	477	526	3875
519	1376	1423	3724
520	268	315	3664
521	1662	1712	4010
522	2030	2079	3345
523	1120	1170	3472
524	203	251	3600
525	1687	1735	4037
526	847	895	4245
527	1448	1496	3798
528	828	876	4226
529	1259	1308	3609
530	148	197	3546
531	2015	23	4363
532	555	602	3953
533	1959	2007	4309
534	668	718	4070
535	1863	1910	4213
536	2061	22	3374
537	1966	2016	4318
538	301	348	3699
539	1169	1219	3519
540	106	153	3504
541	1957	2004	4307
542	2004	2051	3317
543	1919	1968	4267
544	933	983	4333
545	1863	1911	4211
546	481	529	3878
547	1705	1755	4057
548	826	875	4224
549	1587	1637	3937
550	792	840	4189
551	1698	1745	4046
552	2089	50	3403
553	1291	1339	3639
554	507	557	3906
555	1616	1663	3968
556	260	307	3658
557	1464	1511	3814
558	423	472	3823
559	1846	1895	4198
560	352	399	3750
561	1848	1897	4196
562	547	594	3943
563	1895	1943	4245
564	408	457	3808
565	2009	18	4359
566	246	296	3646
567	1511	1560	3863
568	481	529	3878
569	1184	1233	3534
570	50	97	3448
571	1447	1494	3797
572	378	425	3774
573	1980	2029	4330
574	207	255	3605
575	1947	1995	4295
576	710	757	4106
577	1916	1965	4266
578	689	737	4086
579	1434	1481	3782
580	367	416	3765
581	1319	1367	3669
582	542	589	3938
583	1423	1470	3773
584	2072	33	3386
585	24	73	4408
586	938	988	4336
587	1835	1884	4185
588	67	116	3465
589	1572	1622	3920
590	797	844	4191
591	1918	1967	4268
592	510	557	3906
593	1936	1986	4286
594	878	928	4275
595	1190	1238	3540
596	346	393	3742
597	1258	1307	3608
598	653	701	4050
599	1077	1124	3425
600	898	945	4294
601	1951	2000	4301
602	584	631	3980
603	1409	1459	3756
604	356	405	3750
605	1207	1254	3555
606	2060	23	3372
607	1273	1320	3621
608	116	163	3510
609	1771	1821	4120
610	719	769	4114
611	1538	1588	3888
612	2070	35	3382
613	1723	1770	4069
614	361	410	3757
615	1623	1671	3971
616	753	803	4150
617	1803	1851	4153
618	458	506	3853
619	1952	2001	4300
620	2064	27	3376
621	1237	1286	3585
622	273	320	3665
623	1411	1460	3759
624	648	695	4040
625	1201	1248	3549
626	961	1008	4355
627	1451	1500	3799
628	346	394	3741
629	2030	40	4376
630	532	579	4024
631	2042	50	4389
632	784	832	4278
633	1954	2002	4303
634	581	628	4076
635	1787	1836	4135
636	779	826	4273
637	1317	1367	3763
638	704	753	4196
639	1830	1877	4275
640	431	478	3922
641	1437	1487	3885
642	341	388	3835
643	1542	1590	3990
644	312	362	3804
645	1475	1525	3921
646	817	865	4309
647	2021	31	4466
648	905	953	4395
649	1224	1271	3669
650	476	523	3966
651	1085	1132	3530
652	498	547	3990
653	1539	1586	3984
654	123	171	3613
655	1592	1639	4035
656	138	185	3629
657	1500	1549	3943
658	864	913	4358
659	1659	1706	4102
660	859	909	4353
661	1809	1856	4253
662	753	802	4247
663	1096	1145	3542
664	507	557	3999
665	1537	1585	3981
666	544	594	4038
667	1755	1802	4200
668	454	504	3944
669	2001	13	4442
670	675	724	4166
671	1104	1153	3551
672	701	750	4193
673	1120	1170	3566
674	426	474	3918
675	1096	1144	3542
676	26	73	3520
677	1505	1554	3950
678	160	208	3654
679	1538	1586	3984
680	2050	11	3461
681	1334	1382	3782
682	558	606	4052
683	1587	1635	4031
684	610	660	4104
685	1854	1901	4300
686	580	628	4074
687	1304	1352	3750
688	1970	2018	3381
689	1939	48	4384
690	748	797	4241
691	1535	1583	3981
692	260	407	3752
693	1465	1515	3911
694	95	241	3588
695	1432	1479	3876
696	339	486	3829
697	1937	46	4380
698	1919	1969	3333
699	1251	1299	3695
700	785	930	4275
701	1563	1708	4009
702	1917	2064	3329
703	1670	1817	4115
704	669	816	4163
705	16	65	4395
706	183	330	3675
707	1655	1802	4101
708	251	298	3645
709	1604	1751	4048
710	70	120	3463
711	1864	2011	4310
712	1923	2068	3332
713	1875	2020	4316
714	395	442	3787
715	990	1136	3435
716	2083	48	3394
717	1798	1847	4146
718	2055	20	3367
719	1267	1316	3615
720	412	459	3806
721	1863	1912	4213
722	91	140	3485
723	1464	1511	3812
724	2081	43	3395
725	1295	1342	3643
726	29	77	3422
727	1169	1217	3517
728	474	523	3870
729	1905	1954	4256
730	395	443	3789
731	1818	1865	4168
732	114	163	3510
733	1535	1584	3883
734	2049	12	3363
735	1062	1112	3409
736	130	178	3524
737	1589	1637	3937
738	684	733	4078
739	1503	1551	3851
740	905	953	4298
741	1151	1198	3499
742	546	596	3941
743	1880	1930	4228
744	646	693	4040
745	1105	1155	3453
746	327	375	3718
747	1925	1974	4273
748	956	1003	4350
749	1953	2001	4299
750	737	786	4131
751	1827	1876	4177
752	747	797	4146
753	1914	1963	4264
754	723	771	4117
755	1778	1828	4127
756	175	224	3569
757	1079	1128	3425
758	883	932	4277
759	1319	1368	3667
760	2025	2072	3336
761	1415	1463	3762
762	847	896	4240
763	1668	1716	4014
764	795	842	4187
765	1150	1200	3495
766	2048	13	3361
767	1346	1393	3694
768	369	418	3762
769	1918	1965	4262
770	924	972	4318
771	1400	1447	3748
772	695	744	4091
773	1107	1157	3457
774	457	504	3849
775	1308	1358	3658
776	944	994	4340
777	2036	46	4385
778	486	534	3881
779	23	71	4404
780	948	998	4343
781	1102	1151	3448
782	174	223	3568
783	1788	1835	4134
784	99	148	3491
785	1634	1681	3982
786	181	231	3574
787	1996	6	4340
788	542	591	3938
789	1343	1393	3691
790	411	459	3802
791	1066	1113	3412
792	326	373	3718
793	1043	1091	3391
794	785	832	4177
795	7	56	4389
796	2000	2049	3313
797	1247	1294	3597
798	241	290	3641
799	1282	1329	3630
800	599	647	3992
801	1162	1209	3508
802	474	523	3870
803	1679	1728	4029
