Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
545	5288	10569	4
546	5300	16	10581
547	20	10585	5306
548	7	10582	5301
549	5	10579	5294
550	5297	10582	9
551	27	5318	10598
552	10	10583	5298
553	10571	5	5290
554	5291	5	10574
555	10569	5288	11
556	33	10603	5320
557	6	5296	10583
558	5	5298	10581
559	5297	5	10584
560	10577	5	5294
561	3	5291	10580
562	10576	3	5289
563	10580	5299	6
564	5294	3	10581
565	8	5297	10578
566	10581	8	5298
567	5294	10580	3
568	10575	5	5292
569	5292	10581	5
570	5295	9	10580
571	10589	26	5308
572	7	10578	5295
573	20	10590	5307
574	5296	8	10577
575	10586	9	5297
576	5294	10	10575
577	10569	7	5292
578	16	5299	10579
579	5300	10587	13
580	16	5303	10747
581	5292	3	10577
582	5288	10571	3
583	5293	10575	5
584	5	10576	5293
585	4	5290	10571
586	5294	10577	7
587	10576	5293	8
588	5304	10587	25
589	10575	9	5294
590	7	5293	10575
591	5290	10571	3
592	10579	5298	9
593	5290	10573	3
594	7	10569	5293
595	3	5282	10561
596	10576	4	5291
597	9	5299	10583
598	10573	5292	3
599	5291	3	10572
600	5	5291	10576
601	18	5303	10588
602	5298	11	10584
603	10572	5	5291
604	10	10574	5295
605	5296	10581	7
606	22	10594	5309
607	5288	3	10569
608	5295	7	10586
609	10575	5	5292
610	10583	10	5300
611	10581	10	5298
612	11	5294	10574
613	5292	10573	7
614	5295	7	10576
615	5292	10569	5
616	10565	3	5286
617	11	10573	5294
618	3	5283	10553
619	8	10575	5292
620	9	5295	10576
621	6	5292	10579
622	3	10576	5293
623	5294	10579	7
624	11	10588	5301
625	9	5299	10580
626	9	10587	5300
627	7	5297	10582
628	5303	10590	9
629	5	10576	5293
630	5292	10575	5
631	10	10578	5297
632	4	5296	10581
633	10588	5301	8
634	5296	10582	5
635	10	5299	10582
636	10572	3	5287
637	10	10581	5296
638	10590	7	5304
639	10597	12	5306
640	5293	6	10576
641	10582	5301	8
642	10581	9	5298
643	5297	7	10580
644	3	10571	5289
645	10577	5292	5
646	10596	23	5311
647	10578	5297	8
648	3	5295	10578
649	10581	7	5296
650	5296	9	10579
651	10573	5290	3
652	10585	7	5298
653	10574	3	5291
654	5288	10564	5
655	10586	5297	7
656	5298	11	10581
657	9	10580	5299
658	7	10584	5295
659	5298	10583	11
660	10582	7	5299
661	5294	10579	7
662	10577	3	5293
663	10584	9	5301
664	10589	5	5298
665	10577	7	5294
666	10	5298	10586
667	5305	10592	10
668	3	10578	5293
669	10580	5297	10
670	3	5291	10576
671	10573	5292	5
672	9	10584	5297
673	10584	5299	6
674	10577	5295	9
675	6	5298	10583
676	5297	5	10590
677	10584	5	5299
678	5299	10592	7
679	6	10574	5293
680	5289	3	10574
681	22	5310	10590
682	10594	5311	24
683	10575	8	5294
684	10582	24	5302
685	5307	24	10587
686	10582	23	5307
687	10575	5	5292
688	3	5289	10568
689	5297	8	10578
690	3	5290	10569
691	10573	5293	8
692	7	10577	5293
693	10568	5288	3
694	3	5290	10570
695	5302	16	10582
696	5293	10575	8
697	9	10576	5294
698	5290	3	10571
699	10577	5294	9
700	4	5291	10573
701	10573	6	5291
702	5290	5	10566
703	10554	5280	5
704	5289	10569	8
705	10553	7	5283
706	5295	8	10572
707	10565	5289	8
708	10565	11	5291
709	9	5289	10563
710	16	10576	5297
711	23	5303	10578
712	5288	6	10564
713	11	5288	10562
714	5292	10569	14
715	6	10563	5288
716	7	10575	5295
717	5294	12	10573
718	7	10576	5293
719	5292	10575	7
720	10563	4	5288
721	5292	10571	7
722	5	5291	10569
723	5291	5	10570
724	10580	12	5299
725	5298	10577	11
726	10586	5307	22
727	5	5289	10566
728	18	10580	5301
729	5292	15	10569
730	9	10571	5293
731	5287	3	10566
732	5292	8	10573
733	16	10583	5296
734	4	5290	10569
735	12	5294	10572
736	10572	10	5292
737	5291	4	10570
738	5292	10570	9
739	5293	7	10574
740	5290	6	10569
741	7	5294	10573
742	5286	3	10565
743	5292	10571	8
744	5288	10560	8
745	10590	28	5313
746	5293	10	10572
747	15	5289	10559
748	10551	5282	9
749	10576	14	5295
750	5284	3	10565
751	10574	9	5296
752	9	5295	10575
753	5290	6	10575
754	5303	22	10584
755	5291	8	10570
756	11	10582	5298
757	16	5300	10576
758	5293	9	10566
759	10542	7	5277
760	9	5289	10561
761	8	10560	5286
762	10554	4	5282
763	9	5287	10559
764	10560	9	5286
765	10569	14	5295
766	5284	5	10558
767	10567	5294	10
768	5288	10560	11
769	5286	5	10565
770	18	10580	5303
771	5291	10574	8
772	3	10570	5287
773	5295	7	10572
774	5299	12	10578
775	9	5298	10577
776	7	10572	5294
777	5293	7	10578
778	5295	10577	7
779	5	10570	5289
780	5	5289	10574
781	5289	8	10566
782	5293	10	10570
783	5299	13	10577
784	11	5290	10566
785	14	10568	5291
786	10569	5293	12
787	10558	7	5286
788	3	5283	10562
789	5286	10565	9
790	9	10561	5288
791	10561	5286	8
792	10564	16	5295
793	7	5287	10565
794	5283	3	10563
795	7	10717	5287
796	5285	7	10563
797	10560	3	5281
798	7	5287	10563
799	5282	10559	3
800	11	5295	10569
801	7	10561	5286
802	3	5284	10555
803	5293	5	10574
804	10564	5288	5
805	5286	10562	7
806	10561	9	5289
807	5284	6	10556
808	10555	3	5279
809	10575	8	5294
810	10568	9	5292
811	7	10550	5283
812	10546	10	5280
813	5298	18	10579
814	10570	5290	9
815	10564	5288	9
816	8	5293	10576
817	5290	10568	7
818	5292	10577	11
819	5289	9	10568
820	10569	5292	5
821	10573	10	5297
822	10558	5	5286
823	10582	5307	24
824	8	10556	5284
825	5294	10569	16
826	5432	10709	5
827	10556	5282	4
828	7	10566	5290
829	10562	5288	9
830	7	10560	5287
831	5	5289	10569
832	7	5287	10563
833	5280	10552	4
834	10545	5279	7
835	5291	18	10561
836	7	5288	10563
837	5310	25	10589
838	5	10569	5291
839	10548	7	5278
840	7	5294	10574
841	10570	5290	7
842	3	10567	5289
843	3	5287	10568
844	5292	10579	5
845	3	10573	5293
846	5290	10569	9
847	10720	5288	7
848	10590	24	5306
849	5290	9	10571
850	10583	5298	7
851	7	10577	5294
852	11	5288	10569
853	5294	10575	9
854	12	5296	10576
855	10577	9	5294
856	9	10573	5294
857	5282	5	10557
858	5288	10570	9
859	3	5286	10565
860	11	5291	10571
861	6	5283	10551
862	6	10572	5291
863	5291	9	10568
864	4	5286	10566
865	6	10581	5296
866	10567	5288	5
867	10572	10	5293
868	10	5300	10584
869	10577	5294	7
870	9	5294	10575
871	10577	5294	5
872	8	5296	10576
873	5	10565	5288
874	5288	4	10568
875	10562	5286	3
876	5290	10566	7
877	9	10574	5295
878	10569	9	5292
879	3	10560	5285
880	5286	3	10565
881	10569	5288	7
882	5290	10567	10
883	25	5308	10590
884	10563	3	5285
885	10570	3	5289
886	10570	9	5291
887	5295	10577	9
888	10565	6	5286
889	5292	11	10571
890	5279	6	10551
891	10	10574	5295
892	9	10569	5291
893	5299	10578	14
894	10566	3	5285
895	4	10570	5291
896	5296	9	10577
897	10734	5449	11
898	10570	7	5291
899	5292	10567	7
900	6	5296	10579
901	10565	9	5288
902	10	5296	10578
903	8	10575	5294
904	5289	7	10568
905	5288	10566	5
906	5	10580	5297
907	10547	5	5277
908	5293	10573	3
909	4	10564	5287
910	5292	10575	9
911	10573	5292	9
912	7	10569	5288
913	10568	9	5291
914	5306	20	10584
915	5	5290	10570
916	3	5285	10562
917	5	10563	5287
